oracle_calls,seed,top1,top10,top100
100,0,0.4798969,0.4308067,0.2972957
200,0,0.5542654,0.5207412,0.4273084
300,0,0.5882488,0.5565906,0.4868819
400,0,0.6105946,0.5839991,0.5250543
500,0,0.6211126,0.6001609,0.5499396
600,0,0.6694363,0.6442983,0.589896
700,0,0.6889666,0.6632709,0.6182283
800,0,0.6961984,0.6745283,0.6348514
900,0,0.7016822,0.6847776,0.6481791
1000,0,0.7108559,0.6924218,0.6575988
1100,0,0.7136691,0.6987637,0.6667467
1200,0,0.7163814,0.7025909,0.6721675
1300,0,0.7212263,0.7068283,0.6777419
1400,0,0.7303897,0.7118153,0.6820434
1500,0,0.7313264,0.7146072,0.6854709
1600,0,0.7358838,0.719703,0.6902364
1700,0,0.7381838,0.7232316,0.6938846
1800,0,0.7387983,0.724401,0.6966049
1900,0,0.7392426,0.726179,0.699245
2000,0,0.7398847,0.7278219,0.7014424
2100,0,0.7548899,0.7403938,0.7116779
2200,0,0.7550495,0.7412927,0.7156089
2300,0,0.7561516,0.7429332,0.717575
2400,0,0.7593309,0.7444489,0.7192544
2500,0,0.7606474,0.7467895,0.7211992
2600,0,0.761611,0.7487839,0.7236836
2700,0,0.7618826,0.749576,0.7252089
2800,0,0.7627352,0.7503092,0.7264191
2900,0,0.7634781,0.751261,0.7273996
3000,0,0.7648051,0.7527125,0.728802
3100,0,0.7649156,0.753097,0.7297204
3200,0,0.7649156,0.7533087,0.7305955
3300,0,0.7662875,0.7541636,0.7316136
3400,0,0.767369,0.7551978,0.7325645
3500,0,0.7675204,0.7555516,0.733206
3600,0,0.7684994,0.7558668,0.7339374
3700,0,0.7691544,0.7566685,0.7349809
3800,0,0.7707713,0.7573097,0.7358141
3900,0,0.7716467,0.7587316,0.7366566
4000,0,0.7719549,0.7596953,0.7377612
4100,0,0.7720001,0.7599515,0.738469
4200,0,0.7720959,0.7603376,0.7391815
4300,0,0.7722293,0.7604387,0.7398245
4400,0,0.7724196,0.760586,0.7403637
4500,0,0.7724468,0.7608448,0.7408042
4600,0,0.7724468,0.76102,0.7411225
4700,0,0.7724468,0.7610941,0.7413855
4800,0,0.7726826,0.7612283,0.741885
4900,0,0.778906,0.7647232,0.7430511
5000,0,0.7798151,0.7663284,0.7458066
5100,0,0.7798151,0.7666992,0.7472362
5200,0,0.7798151,0.7668869,0.7479741
5300,0,0.779939,0.767013,0.7484062
5400,0,0.7799685,0.7671728,0.7489134
5500,0,0.7799685,0.7673769,0.7494196
5600,0,0.7799685,0.7679142,0.7498327
5700,0,0.7838724,0.76985,0.7504412
5800,0,0.7838724,0.7702648,0.7509297
5900,0,0.7838724,0.7704376,0.7513447
6000,0,0.7838724,0.7704376,0.7515665
6100,0,0.783875,0.7704714,0.7517816
6200,0,0.7839206,0.7706308,0.752074
6300,0,0.7840344,0.7706594,0.7524218
6400,0,0.7845665,0.7709258,0.7527346
6500,0,0.7845665,0.7710991,0.7530202
6600,0,0.7845665,0.7712118,0.7532174
6700,0,0.7845665,0.7715228,0.7534385
6800,0,0.7845665,0.7718568,0.7537177
6900,0,0.7872971,0.7744108,0.7544552
7000,0,0.7872971,0.7746769,0.7547144
7100,0,0.7876425,0.7747749,0.7549786
7200,0,0.7876425,0.7748176,0.755232
7300,0,0.7876425,0.7748295,0.7555273
7400,0,0.7876425,0.7755008,0.7560824
7500,0,0.7877721,0.7757584,0.7564763
7600,0,0.7879585,0.7763267,0.7568315
7700,0,0.7879585,0.7766255,0.7571695
7800,0,0.7879585,0.7771163,0.7577372
7900,0,0.7879585,0.7771593,0.757901
8000,0,0.7879932,0.7772129,0.7581964
8100,0,0.7880631,0.7772611,0.7584823
8200,0,0.7880631,0.7772682,0.7586675
8300,0,0.7880631,0.7772682,0.7588784
8400,0,0.7880631,0.7774186,0.7591934
8500,0,0.7880631,0.7774315,0.7593834
8600,0,0.7880631,0.7774315,0.7595841
8700,0,0.7881306,0.7775868,0.7599242
8800,0,0.7883137,0.777677,0.7601418
8900,0,0.7883137,0.7776946,0.7603003
9000,0,0.7884414,0.7777786,0.7603909
9100,0,0.7884414,0.7779606,0.7605812
9200,0,0.7884414,0.7780278,0.7607725
9300,0,0.7884414,0.7780423,0.7609629
9400,0,0.7884414,0.7780639,0.7609933
9500,0,0.7884414,0.7780798,0.7610421
9600,0,0.7884414,0.7781014,0.7612173
9700,0,0.7884414,0.7781023,0.7612971
9800,0,0.7885032,0.7781406,0.7613916
9900,0,0.7885032,0.7781406,0.7615643
10000,0,0.7885032,0.7781836,0.7616546
100,1,0.4573181,0.4270297,0.3018707
200,1,0.5127685,0.4857782,0.4114517
300,1,0.5819118,0.5533772,0.4712729
400,1,0.612504,0.5917266,0.5281741
500,1,0.624119,0.6027517,0.552527
600,1,0.6724181,0.6432923,0.5879095
700,1,0.6870442,0.6617674,0.6144618
800,1,0.7115954,0.6841662,0.6376932
900,1,0.7260282,0.7011912,0.6585458
1000,1,0.7314879,0.7098965,0.6699183
1100,1,0.7468314,0.7276698,0.6865039
1200,1,0.7547011,0.7333214,0.6979311
1300,1,0.7558666,0.7358691,0.7028946
1400,1,0.7568003,0.7375751,0.706761
1500,1,0.7576518,0.739973,0.710417
1600,1,0.7581705,0.7412623,0.7137504
1700,1,0.7589867,0.7436499,0.7166795
1800,1,0.7603095,0.7449528,0.7184837
1900,1,0.7606213,0.7461529,0.7200918
2000,1,0.7623113,0.7476415,0.7217818
2100,1,0.7634331,0.7491246,0.7232138
2200,1,0.7634331,0.7499828,0.7247671
2300,1,0.7650112,0.7516487,0.7264001
2400,1,0.7650112,0.7519679,0.7273789
2500,1,0.7662614,0.753995,0.7291858
2600,1,0.7686839,0.7560569,0.7319869
2700,1,0.7691249,0.7566143,0.7331406
2800,1,0.7696178,0.7577269,0.7342172
2900,1,0.7705591,0.7591169,0.7359044
3000,1,0.7705975,0.7593544,0.7372419
3100,1,0.7716399,0.7600757,0.7383716
3200,1,0.7728851,0.7608978,0.7394154
3300,1,0.7728858,0.7619162,0.7403233
3400,1,0.7739694,0.7627859,0.74112
3500,1,0.7748924,0.7637954,0.7418
3600,1,0.7752679,0.7642941,0.74229
3700,1,0.7788712,0.7652443,0.7428779
3800,1,0.7788712,0.7669285,0.7441071
3900,1,0.7791229,0.7675087,0.744907
4000,1,0.7791229,0.7676926,0.7453965
4100,1,0.7796819,0.7680025,0.7460371
4200,1,0.7816069,0.7682717,0.7464995
4300,1,0.7816069,0.7683799,0.7469609
4400,1,0.7816388,0.7685359,0.7473726
4500,1,0.7823861,0.769402,0.7481641
4600,1,0.7827356,0.769779,0.7488644
4700,1,0.7831902,0.7701553,0.749593
4800,1,0.7831907,0.7702841,0.7500493
4900,1,0.7831907,0.7704092,0.7503645
5000,1,0.7831907,0.7706845,0.7506939
5100,1,0.7831997,0.7707598,0.7510833
5200,1,0.7831997,0.7708175,0.7514504
5300,1,0.7831997,0.7708175,0.7517116
5400,1,0.7831997,0.7710153,0.7521035
5500,1,0.7831997,0.7712244,0.752425
5600,1,0.7838729,0.7722865,0.7531035
5700,1,0.7841562,0.7726384,0.7533558
5800,1,0.7848567,0.7736658,0.7542585
5900,1,0.7848567,0.7738371,0.7546799
6000,1,0.7848567,0.7739025,0.7551583
6100,1,0.7848567,0.7743724,0.7554927
6200,1,0.7848567,0.7745882,0.7557201
6300,1,0.7848567,0.7747455,0.7559225
6400,1,0.7848567,0.7747536,0.7560686
6500,1,0.7848567,0.7749564,0.7561843
6600,1,0.7848567,0.7751629,0.7562723
6700,1,0.7848567,0.7753341,0.7565474
6800,1,0.7848567,0.7755267,0.7569094
6900,1,0.7848567,0.775597,0.7571214
7000,1,0.7855187,0.7758558,0.7573076
7100,1,0.7859733,0.7759063,0.7574579
7200,1,0.7859733,0.7759361,0.757666
7300,1,0.7859733,0.7760714,0.7578742
7400,1,0.7859733,0.7761439,0.7580682
7500,1,0.7859733,0.7763463,0.7583225
7600,1,0.7859733,0.7764648,0.7585455
7700,1,0.7859733,0.7764648,0.7587418
7800,1,0.7859733,0.7764648,0.7588263
7900,1,0.7859733,0.7768421,0.7592229
8000,1,0.7864884,0.7769065,0.7594922
8100,1,0.7866084,0.7770102,0.7595907
8200,1,0.7867488,0.7771024,0.7597306
8300,1,0.7867757,0.7771295,0.7599156
8400,1,0.7867757,0.7771295,0.7601175
8500,1,0.7867757,0.7772231,0.7602372
8600,1,0.7867757,0.7773194,0.7603643
8700,1,0.7867757,0.777325,0.7604981
8800,1,0.7867757,0.7773517,0.7606884
8900,1,0.7867757,0.7774038,0.7608136
9000,1,0.7867757,0.7774526,0.7609038
9100,1,0.7867757,0.7774526,0.760978
9200,1,0.7867757,0.7775021,0.7610628
9300,1,0.7867757,0.7775157,0.7611108
9400,1,0.7867757,0.7775157,0.7612174
9500,1,0.7867757,0.7775677,0.76127
9600,1,0.7867757,0.7775677,0.7612887
9700,1,0.7867757,0.7775677,0.7613236
9800,1,0.7867757,0.7775677,0.7613439
9900,1,0.7867757,0.7775677,0.7614083
10000,1,0.7867757,0.7775677,0.7614448
100,2,0.4610804,0.4251621,0.3056768
200,2,0.5506285,0.5138357,0.4240048
300,2,0.5753144,0.5446257,0.4828558
400,2,0.6122231,0.5724814,0.5124318
500,2,0.6286492,0.5943858,0.5359934
600,2,0.6615797,0.6323437,0.5709479
700,2,0.6784376,0.6525783,0.5986784
800,2,0.6849022,0.6627712,0.6159675
900,2,0.6999419,0.6720299,0.628871
1000,2,0.7079978,0.68437,0.643914
1100,2,0.7202407,0.6954737,0.655785
1200,2,0.7210512,0.7006686,0.6643878
1300,2,0.7218916,0.7030888,0.6693311
1400,2,0.7252873,0.7078463,0.6738489
1500,2,0.7370271,0.7165351,0.6803186
1600,2,0.737623,0.7200087,0.6870769
1700,2,0.7388146,0.7219814,0.6912699
1800,2,0.7418314,0.724952,0.6949497
1900,2,0.7539744,0.7341736,0.7005955
2000,2,0.7552139,0.7364374,0.7063113
2100,2,0.7579282,0.740659,0.7107391
2200,2,0.7600458,0.7440853,0.7140691
2300,2,0.761246,0.7462701,0.7171074
2400,2,0.7623064,0.7476534,0.7192904
2500,2,0.7645756,0.7493359,0.7215133
2600,2,0.7673583,0.7513489,0.7236136
2700,2,0.7683371,0.753294,0.7259606
2800,2,0.7686187,0.7543167,0.7275899
2900,2,0.7712473,0.7563237,0.7297583
3000,2,0.7725241,0.7574779,0.7313699
3100,2,0.7840295,0.7693761,0.7370833
3200,2,0.7842536,0.7701159,0.7441863
3300,2,0.7881052,0.7721322,0.7457772
3400,2,0.7883499,0.773162,0.7474034
3500,2,0.7883499,0.7736042,0.7486173
3600,2,0.7906449,0.7748527,0.7496057
3700,2,0.7907107,0.7753835,0.7503621
3800,2,0.7910536,0.7757911,0.7511428
3900,2,0.7915582,0.7763685,0.7519592
4000,2,0.7917339,0.776527,0.7526326
4100,2,0.7920316,0.7768858,0.7532336
4200,2,0.7923217,0.7773349,0.7537357
4300,2,0.7956787,0.7781732,0.7542566
4400,2,0.7957541,0.7796521,0.7550533
4500,2,0.7962805,0.7802998,0.7556688
4600,2,0.7986917,0.7816962,0.7569458
4700,2,0.7987659,0.7820706,0.7579679
4800,2,0.7988345,0.7825821,0.7586533
4900,2,0.7992891,0.7830229,0.7591881
5000,2,0.8001647,0.7837417,0.7599091
5100,2,0.8001647,0.7848362,0.7609118
5200,2,0.8001652,0.785284,0.761622
5300,2,0.8001652,0.7854635,0.7623947
5400,2,0.8004541,0.7857105,0.7627908
5500,2,0.8004541,0.7857756,0.7630605
5600,2,0.8004541,0.7858721,0.7633651
5700,2,0.8004541,0.7859906,0.763708
5800,2,0.8004541,0.7859953,0.7639087
5900,2,0.8005857,0.786124,0.7641051
6000,2,0.8010403,0.7862551,0.7642843
6100,2,0.8010403,0.7865622,0.7646313
6200,2,0.8010403,0.7866729,0.7648599
6300,2,0.8010403,0.7867183,0.7650667
6400,2,0.8010403,0.7867478,0.7651555
6500,2,0.8010403,0.7867796,0.7652605
6600,2,0.8010403,0.7871007,0.7655153
6700,2,0.8010403,0.7877388,0.7665201
6800,2,0.8010403,0.7887231,0.7672121
6900,2,0.8011656,0.7888061,0.7675043
7000,2,0.8016003,0.7888808,0.7676553
7100,2,0.8016683,0.78893,0.7678506
7200,2,0.8016683,0.788939,0.7680013
7300,2,0.8016683,0.7889472,0.7681335
7400,2,0.8016683,0.788962,0.7682251
7500,2,0.8017318,0.7891052,0.7684218
7600,2,0.8017425,0.7891344,0.7686267
7700,2,0.8017425,0.7891496,0.7687181
7800,2,0.801797,0.7892239,0.7688367
7900,2,0.801953,0.789322,0.7690088
8000,2,0.801953,0.7894282,0.7691332
8100,2,0.8020693,0.7896131,0.769389
8200,2,0.8020693,0.7896291,0.7695567
8300,2,0.8020693,0.7896509,0.7697679
8400,2,0.8020693,0.7897037,0.7699682
8500,2,0.80208,0.7897958,0.7700387
8600,2,0.80208,0.7899547,0.7701594
8700,2,0.80208,0.7899568,0.7702437
8800,2,0.80208,0.7900084,0.7704381
8900,2,0.80208,0.7900132,0.7705057
9000,2,0.80208,0.7900153,0.7706535
9100,2,0.802604,0.7902254,0.7707828
9200,2,0.802604,0.7902264,0.770823
9300,2,0.8027977,0.7902661,0.7708657
9400,2,0.8028778,0.790371,0.7710282
9500,2,0.8028778,0.7903759,0.7710821
9600,2,0.8028778,0.790388,0.771149
9700,2,0.8028778,0.7904057,0.7712563
9800,2,0.8028778,0.7904057,0.7713112
9900,2,0.8029155,0.7905024,0.7714682
10000,2,0.8029155,0.790521,0.7716162
100,3,0.4596359,0.420291,0.2988282
200,3,0.510438,0.4749693,0.3987842
300,3,0.5623822,0.5294828,0.4554237
400,3,0.59417,0.5693628,0.496862
500,3,0.6144046,0.5905333,0.5369387
600,3,0.6822498,0.6447335,0.5779375
700,3,0.6944831,0.6631224,0.6086932
800,3,0.6998815,0.6724181,0.626176
900,3,0.7054693,0.6812026,0.6410366
1000,3,0.7081525,0.6857501,0.649477
1100,3,0.7103049,0.6898014,0.6574734
1200,3,0.7188488,0.6952493,0.663572
1300,3,0.731005,0.7031558,0.6704323
1400,3,0.7316557,0.7083455,0.6762891
1500,3,0.7338255,0.7127751,0.6807016
1600,3,0.7349447,0.7153012,0.684417
1700,3,0.7384371,0.7188538,0.6882577
1800,3,0.7396852,0.7216202,0.6915614
1900,3,0.7496184,0.7270571,0.6951686
2000,3,0.7498663,0.7294608,0.698093
2100,3,0.7516053,0.7310451,0.7007296
2200,3,0.75574,0.7375108,0.7059642
2300,3,0.7564852,0.7396793,0.7100215
2400,3,0.7570694,0.7402779,0.7119993
2500,3,0.7571462,0.7407311,0.7131372
2600,3,0.759359,0.7432474,0.7147714
2700,3,0.7634041,0.7454172,0.7163884
2800,3,0.7636587,0.7471746,0.7181999
2900,3,0.7650094,0.7485297,0.7200747
3000,3,0.765217,0.7492699,0.7216993
3100,3,0.7664268,0.7506715,0.7237107
3200,3,0.7675279,0.7520938,0.7252341
3300,3,0.7675594,0.7524692,0.7263264
3400,3,0.7697546,0.7537999,0.7273629
3500,3,0.7705411,0.7542049,0.7291168
3600,3,0.7705411,0.7544886,0.7302793
3700,3,0.7707349,0.7550692,0.7310382
3800,3,0.7715437,0.7553038,0.7314435
3900,3,0.7716366,0.7554528,0.7319994
4000,3,0.7716366,0.7556997,0.7324142
4100,3,0.7726528,0.7563536,0.7330276
4200,3,0.7807974,0.7588349,0.7338693
4300,3,0.7816205,0.7665694,0.7421365
4400,3,0.7818969,0.7670118,0.7437859
4500,3,0.7818969,0.7673834,0.7446471
4600,3,0.7820453,0.7675358,0.7450839
4700,3,0.7824643,0.7681513,0.7460216
4800,3,0.7824643,0.7682972,0.7464941
4900,3,0.7825032,0.7684032,0.7469227
5000,3,0.7825032,0.7686121,0.7473912
5100,3,0.7825032,0.7686483,0.7479753
5200,3,0.7835321,0.7693929,0.7488724
5300,3,0.7835321,0.7695844,0.7492856
5400,3,0.7835321,0.7696033,0.7496458
5500,3,0.7835321,0.7696893,0.7499013
5600,3,0.7835321,0.7697683,0.7501656
5700,3,0.7850946,0.7701131,0.7504082
5800,3,0.7850946,0.7702142,0.7507127
5900,3,0.7850946,0.770377,0.7511836
6000,3,0.7850946,0.770488,0.7515024
6100,3,0.7851894,0.7708559,0.7517724
6200,3,0.7851894,0.7709045,0.7519874
6300,3,0.7851894,0.7709251,0.7522153
6400,3,0.7851894,0.7711847,0.7525922
6500,3,0.7851894,0.7712165,0.7527079
6600,3,0.7851894,0.7715044,0.7529048
6700,3,0.7851894,0.7724375,0.7535719
6800,3,0.7854983,0.7730853,0.7540781
6900,3,0.7857954,0.7734098,0.7545709
7000,3,0.7857954,0.7735433,0.7550568
7100,3,0.7859481,0.7738182,0.7553538
7200,3,0.786638,0.7742009,0.7557007
7300,3,0.786638,0.7743157,0.7561017
7400,3,0.7908485,0.7751527,0.7566845
7500,3,0.7908485,0.7754901,0.7570043
7600,3,0.7908492,0.7757958,0.7573766
7700,3,0.7909155,0.7762701,0.757733
7800,3,0.7909256,0.7764749,0.7581066
7900,3,0.7909256,0.7766783,0.7585035
8000,3,0.7912757,0.7770358,0.7586519
8100,3,0.7912757,0.7773682,0.7588732
8200,3,0.7919532,0.7785468,0.7595647
8300,3,0.7955679,0.7791152,0.7600208
8400,3,0.7955679,0.779335,0.760482
8500,3,0.7955679,0.7793534,0.7607245
8600,3,0.7955679,0.7797455,0.7610256
8700,3,0.7955679,0.7797641,0.7611797
8800,3,0.7955679,0.7797641,0.7613126
8900,3,0.7955679,0.7797837,0.7614614
9000,3,0.7955679,0.7797837,0.7615556
9100,3,0.7955679,0.7797837,0.7616095
9200,3,0.7955679,0.7801284,0.7619143
9300,3,0.795579,0.7801359,0.7620407
9400,3,0.795579,0.7801443,0.7621386
9500,3,0.795579,0.7801877,0.7621636
9600,3,0.795579,0.7801877,0.762197
9700,3,0.7956443,0.7802261,0.7622697
9800,3,0.7956443,0.7803207,0.7624063
9900,3,0.7956443,0.7803216,0.7624516
10000,3,0.7964259,0.7804691,0.762578
100,4,0.4520605,0.4147673,0.2904219
200,4,0.5540504,0.5204558,0.4216152
300,4,0.5978187,0.5597818,0.4911498
400,4,0.6092439,0.5783441,0.523007
500,4,0.6263351,0.5993652,0.5454836
600,4,0.6862789,0.6548031,0.5861236
700,4,0.7038457,0.6830729,0.6193955
800,4,0.7129767,0.692884,0.6410666
900,4,0.733066,0.715501,0.6617653
1000,4,0.7403591,0.7217737,0.6781633
1100,4,0.7437356,0.7258707,0.6863553
1200,4,0.7465274,0.7289063,0.691731
1300,4,0.7483296,0.7308266,0.696509
1400,4,0.754115,0.7341672,0.7014159
1500,4,0.7587562,0.7391109,0.7066477
1600,4,0.7603499,0.7426359,0.7103098
1700,4,0.7634009,0.745402,0.7139359
1800,4,0.764697,0.7474766,0.7170363
1900,4,0.7675023,0.7513278,0.7210416
2000,4,0.768118,0.7529448,0.7234765
2100,4,0.7703731,0.7552165,0.726407
2200,4,0.7708277,0.7556887,0.7280362
2300,4,0.7714862,0.7567413,0.7295928
2400,4,0.7719075,0.7576291,0.7309349
2500,4,0.7719075,0.7579968,0.7320732
2600,4,0.7733272,0.7587158,0.7331422
2700,4,0.7739423,0.7592595,0.733998
2800,4,0.774617,0.760323,0.7351619
2900,4,0.7765843,0.7626122,0.7367265
3000,4,0.7765843,0.7638714,0.7382262
3100,4,0.7786061,0.7648719,0.7395437
3200,4,0.7790846,0.7659548,0.7409346
3300,4,0.7795418,0.7665757,0.7418737
3400,4,0.7804578,0.7684017,0.7435058
3500,4,0.7811295,0.769148,0.744487
3600,4,0.7821274,0.7701867,0.745649
3700,4,0.7822121,0.7705398,0.7465116
3800,4,0.7828121,0.7709975,0.7473704
3900,4,0.7835276,0.7718539,0.7485099
4000,4,0.7840125,0.7725882,0.7490918
4100,4,0.7840125,0.7728088,0.7500386
4200,4,0.7840125,0.7730775,0.751177
4300,4,0.784985,0.773483,0.7519993
4400,4,0.7852924,0.7744355,0.7528717
4500,4,0.7854215,0.7748738,0.7536003
4600,4,0.7861196,0.7753761,0.7542363
4700,4,0.7865742,0.7755779,0.754858
4800,4,0.7865742,0.7759485,0.7558454
4900,4,0.7866261,0.7760702,0.7565586
5000,4,0.7882943,0.7765845,0.7574351
5100,4,0.788759,0.7767589,0.7583214
5200,4,0.788759,0.7768562,0.7589077
5300,4,0.788759,0.7769775,0.7593197
5400,4,0.788759,0.7770601,0.7595712
5500,4,0.788759,0.7771438,0.7598007
5600,4,0.788759,0.777258,0.7600737
5700,4,0.788759,0.7773277,0.7601965
5800,4,0.788759,0.7775529,0.7603639
5900,4,0.788759,0.7775554,0.7605643
6000,4,0.788812,0.7775905,0.7608737
6100,4,0.788812,0.7775966,0.7611669
6200,4,0.788812,0.7776057,0.7612757
6300,4,0.788812,0.7777187,0.7614224
6400,4,0.7901676,0.7778831,0.7617469
6500,4,0.7901676,0.7779443,0.7619096
6600,4,0.7901676,0.7779467,0.7621055
6700,4,0.7901676,0.7779468,0.7621654
6800,4,0.7906222,0.7779936,0.7623358
6900,4,0.7925472,0.7783786,0.762646
7000,4,0.7925472,0.7787652,0.7630119
7100,4,0.7926127,0.7787952,0.7631856
7200,4,0.7928069,0.7790499,0.76334
7300,4,0.7928073,0.7794416,0.7636351
7400,4,0.7928073,0.7798306,0.763884
7500,4,0.7929067,0.7798983,0.7640303
7600,4,0.7929067,0.7801124,0.7642033
7700,4,0.7929067,0.7801829,0.7643666
7800,4,0.7929067,0.7801855,0.7645411
7900,4,0.7929067,0.7801855,0.764629
8000,4,0.7933844,0.7803129,0.7646747
8100,4,0.7933844,0.7803129,0.7647706
8200,4,0.7933844,0.7803134,0.7648724
8300,4,0.7933844,0.7803134,0.7649224
8400,4,0.7933844,0.7803692,0.7649831
8500,4,0.7933844,0.7804167,0.7650535
8600,4,0.7933844,0.7804173,0.7651503
8700,4,0.7933844,0.7804173,0.7652062
8800,4,0.7933844,0.7804628,0.765269
8900,4,0.7933844,0.7804694,0.7653305
9000,4,0.7933844,0.7804985,0.7653803
9100,4,0.7934261,0.7805169,0.76543
9200,4,0.7934693,0.7806193,0.765526
9300,4,0.793606,0.780717,0.7655938
9400,4,0.793606,0.7807232,0.765672
9500,4,0.793606,0.7808871,0.7657836
9600,4,0.793606,0.7810451,0.7658951
9700,4,0.793606,0.7811007,0.7660158
9800,4,0.793606,0.7811007,0.7661435
9900,4,0.793606,0.7811007,0.766195
10000,4,0.793606,0.7811007,0.7662296
